protein_id	genome_id	tax_class	tier	subtier	evidence_score	n_tools	recommend_family	dbcan_hmm_family	dbcan_sub_family	diamond_family	seq_length	foldseek_3di_best_hit	foldseek_3di_pident	foldseek_3di_evalue	foldseek_3di_bits_norm	saprot_cosine_to_cazyme_centroid	structure_evidence_score	adjudicated_tier
jgi-Walse1-46864-estExt_Genewise1.C_130194	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.4479999999999999	1	-	-	-	AA5_1	538	QLE45945.1	53.7	1.471e-25	0.101	0.9118	0.5284	gray_zone_ambiguous_structure
jgi-Walse1-43861-estExt_Genewise1.C_4_t10292	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.35	1	-	-	-	CBM48	1487	A0A7R8XCR5	72.5	0.0	0.9974	0.8794	0.9685	gray_zone_structure_supports_cazyme
jgi-Walse1-60565-estExt_fgenesh1_kg.C_120009	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.452	1	-	-	-	GT2	596	A8XD83	48.7	6.107e-07	0.0487	0.723	0.4551	gray_zone_structure_supports_non_cazyme
jgi-Walse1-32292-fgenesh1_kg.7_#_126_#_isotig00394	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.366	1	-	-	-	CE8	1227	A0A8S2ADH0	64.3	3.559e-176	0.5074	0.8002	0.7037	gray_zone_structure_supports_cazyme
jgi-Walse1-19826-e_gw1.14.85.1	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.517	1	-	-	-	GH43_26	977	QWU86368.1	63.8	1.7210000000000002e-244	0.6797	0.8535	0.8032	gray_zone_structure_supports_cazyme
jgi-Walse1-18879-e_gw1.10.219.1	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.54	1	-	-	-	GT1	356	A0A7H8RBM1	42.6	5.773e-34	0.1201	0.7808	0.5053	gray_zone_structure_supports_non_cazyme
jgi-Walse1-30256-fgenesh1_pg.26_#_2	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.599	1	-	-	-	GT57	389	G0WE70	79.1	1.653e-186	0.5074	0.769	0.696	gray_zone_structure_supports_cazyme
jgi-Walse1-70418-estExt_Genemark1.C_240068	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.54	1	-	-	-	PL20	451	A0A7R8X9N0	37.9	2.779e-23	0.094	0.8094	0.4993	gray_zone_structure_supports_non_cazyme
jgi-Walse1-34023-fgenesh1_kg.28_#_12_#_isotig03488	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.502	1	-	-	-	GH79	591	A0A9Q8WAU1	69.4	2.808e-142	0.4047	0.8045	0.6535	gray_zone_structure_supports_cazyme
jgi-Walse1-60298-estExt_fgenesh1_kg.C_80122	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.424	1	-	-	-	GH71	532	A0A160T5V8	54.6	3.322e-92	0.275	0.8974	0.6119	gray_zone_structure_supports_cazyme
jgi-Walse1-60595-estExt_fgenesh1_kg.C_120045	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.411	1	-	-	-	GT2	1223	WFD23442.1	65.5	9.802e-102	0.3142	0.6915	0.58	gray_zone_ambiguous_structure
jgi-Walse1-53639-estExt_fgenesh1_pm.C_30179	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.521	1	-	-	-	GH47	805	A0A9P9K3K3	74.6	3.8339999999999994e-229	0.6336	0.8246	0.7729	gray_zone_structure_supports_cazyme
jgi-Walse1-33391-fgenesh1_kg.18_#_28_#_isotig00648	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.4589999999999999	1	-	-	-	GH13_11	473	Q8Z2Z9	74.2	1.13e-174	0.4813	0.8056	0.692	gray_zone_structure_supports_cazyme
jgi-Walse1-61030-estExt_fgenesh1_kg.C_180061	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.55	1	-	-	-	GT34	1531	K8E1P7	55.1	2.892e-46	0.1619	0.7236	0.5118	gray_zone_structure_supports_non_cazyme
jgi-Walse1-40818-estExt_Genewise1Plus.C_230087	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.359	1	-	-	-	GT2	982	A0A085MG88	43.0	2.941e-61	0.2037	0.8339	0.5603	gray_zone_ambiguous_structure
jgi-Walse1-33472-fgenesh1_kg.19_#_36_#_isotig00684	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.539	1	-	-	-	CE9	310	A0A4P7NB20	73.8	5.112e-100	0.2863	0.7988	0.5929	gray_zone_ambiguous_structure
jgi-Walse1-18316-e_gw1.8.331.1	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.696	1	-	-	-	AA2	361	A0A7R9A3Q4	73.1	5.764e-117	0.3307	0.8256	0.6218	gray_zone_structure_supports_cazyme
jgi-Walse1-34539-estExt_Genewise1Plus.C_1_t10287	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.426	1	-	-	-	GT69	675	WFD20275.1	68.6	7.906e-124	0.3612	0.8004	0.6307	gray_zone_structure_supports_cazyme
jgi-Walse1-43890-estExt_Genewise1.C_4_t10346	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.447	1	-	-	-	GH0	611	A0A7S8F6T3	48.7	1.195e-14	0.0705	0.8463	0.4968	gray_zone_structure_supports_non_cazyme
jgi-Walse1-32792-fgenesh1_kg.11_#_92_#_isotig01693	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.278	1	-	-	-	GH67	1747	K8ELT8	44.2	5.221e-82	0.2611	0.8567	0.5947	gray_zone_ambiguous_structure
jgi-Walse1-31681-fgenesh1_kg.4_#_154_#_isotig01069	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.3989999999999999	1	-	-	-	CE4	1000	-	0.0		0.0	0.431	0.3577	gray_zone_structure_supports_non_cazyme
jgi-Walse1-52040-fgenesh1_pm.16_#_32	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.856	1	-	-	-	GT50	201	UOH85136.1	69.8	2.4569999999999997e-67	0.1984	0.7507	0.5369	gray_zone_ambiguous_structure
jgi-Walse1-33191-fgenesh1_kg.16_#_6_#_isotig01742	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.564	1	-	-	-	GT90	1975	A0A7R8XCR5	70.8	0.0	0.9826	0.8559	0.9553	gray_zone_structure_supports_cazyme
jgi-Walse1-31958-fgenesh1_kg.6_#_8_#_isotig03171	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.598	1	-	-	-	GH16_18	400	A0A2G5UV03	72.6	4.412e-132	0.3708	0.8196	0.6403	gray_zone_structure_supports_cazyme
jgi-Walse1-57880-estExt_fgenesh1_pg.C_140021	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.386	1	-	-	-	GH0	1160	A0A899G6P5	54.0	1.094e-76	0.2472	0.5911	0.5214	gray_zone_ambiguous_structure
jgi-Walse1-64533-gm1.2872_g	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.434	1	-	-	-	GH51_1	547	A0A7H8QQE3	73.3	7.822000000000001e-178	0.4926	0.7272	0.6781	gray_zone_structure_supports_cazyme
jgi-Walse1-61647-estExt_fgenesh1_kg.C_390005	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.3879999999999999	1	-	-	-	GT2	587	A0A160T0J5	63.3	7.67e-186	0.5144	0.83	0.7147	gray_zone_structure_supports_cazyme
jgi-Walse1-31481-fgenesh1_kg.3_#_185_#_isotig02039	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.4529999999999999	1	-	-	-	AA3_2	850	A0A348AKN8	49.1	1.564e-05	0.0453	0.8151	0.4764	gray_zone_structure_supports_non_cazyme
jgi-Walse1-21689-e_gw1.23.57.1	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.506	1	-	-	-	GT27	507	A0A2U9C0S7	69.4	8.465e-153	0.4282	0.8498	0.6765	gray_zone_structure_supports_cazyme
jgi-Walse1-59307-estExt_fgenesh1_kg.C_20137	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.473	1	-	-	-	AA5_1	523	A0A8S2ABK9	77.0	4.849e-204	0.5579	0.8367	0.7381	gray_zone_structure_supports_cazyme
jgi-Walse1-51162-fgenesh1_pm.7_#_171	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.373	1	-	-	-	GT62	587	A0A844GPI2	63.3	3.952e-177	0.4926	0.9268	0.728	gray_zone_structure_supports_cazyme
jgi-Walse1-49854-fgenesh1_pm.1_#_253	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.492	1	-	-	-	GH47	796	A0A8S2ARC9	64.3	6.506e-157	0.45	0.7875	0.6719	gray_zone_structure_supports_cazyme
jgi-Walse1-68293-estExt_Genemark1.C_60081	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.426	1	-	-	-	GT2	956	A0A7S9PSI3	62.5	6.887000000000001e-25	0.101	0.6213	0.4558	gray_zone_structure_supports_non_cazyme
jgi-Walse1-18669-e_gw1.10.147.1	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.494	1	-	-	-	GT22	450	A0A0Q6ZRX3	35.0	4.956e-19	0.0818	0.8139	0.4944	gray_zone_structure_supports_non_cazyme
jgi-Walse1-62665-gm1.1004_g	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.525	1	-	-	-	GT22	663	A0A132AN97	63.4	9.234000000000001e-156	0.4421	0.8816	0.6915	gray_zone_structure_supports_cazyme
jgi-Walse1-63829-gm1.2168_g	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.618	1	-	-	-	GH13_25+GH133	320	BEI86101.1	58.0	2.1879999999999997e-47	0.1532	0.8048	0.5278	gray_zone_ambiguous_structure
jgi-Walse1-54215-estExt_fgenesh1_pm.C_70031	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.449	1	-	-	-	GT2	635	A0A7R8W5N1	49.2	1.741e-61	0.1993	0.8744	0.5683	gray_zone_ambiguous_structure
jgi-Walse1-62276-gm1.615_g	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.4429999999999999	1	-	-	-	GT1	606	A0A7R9BT76	46.4	1.272e-95	0.2863	0.8414	0.6035	gray_zone_structure_supports_cazyme
jgi-Walse1-31456-fgenesh1_kg.3_#_160_#_isotig01518	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.784	1	-	-	-	GH43_30	487	QGI79035.1	76.5	2.684e-198	0.5413	0.7831	0.7165	gray_zone_structure_supports_cazyme
jgi-Walse1-44144-estExt_Genewise1.C_5_t10081	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.5379999999999999	1	-	-	-	GH10	477	A0A8J9WI81	36.4	9.254e-10	0.0557	0.8341	0.4864	gray_zone_structure_supports_non_cazyme
jgi-Walse1-32458-fgenesh1_kg.8_#_133_#_isotig01314	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.664	1	-	-	-	GT15	1021	QWU87570.1	40.5	1.836e-75	0.2437	0.8643	0.5879	gray_zone_ambiguous_structure
jgi-Walse1-61439-estExt_fgenesh1_kg.C_270040	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.273	1	-	-	-	GT8	1321	A0A8H8T062	49.3	2.821e-106	0.3264	0.8085	0.6153	gray_zone_structure_supports_cazyme
jgi-Walse1-41370-estExt_Genewise1Plus.C_290066	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.484	1	-	-	-	GT31	538	A0A9Q8T2G0	64.5	5.006e-78	0.2393	0.8013	0.57	gray_zone_ambiguous_structure
jgi-Walse1-33926-fgenesh1_kg.25_#_43_#_isotig00713	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.583	1	-	-	-	GT1	1334	AHG76948.1	39.1	4.963e-06	0.047	0.6803	0.4436	gray_zone_structure_supports_non_cazyme
jgi-Walse1-38551-estExt_Genewise1Plus.C_100258	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.471	1	-	-	-	AA3_2	433	A0A9Q8WLK1	71.5	2.366e-155	0.4308	0.8837	0.6863	gray_zone_structure_supports_cazyme
jgi-Walse1-70784-estExt_Genemark1.C_320045	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.805	1	-	-	-	GH127	314	BEI86101.1	78.2	1.981e-120	0.3377	0.7058	0.5953	gray_zone_ambiguous_structure
jgi-Walse1-39869-estExt_Genewise1Plus.C_170105	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.416	1	-	-	-	GT2	615	QWU87570.1	61.1	1.09e-153	0.4343	0.8781	0.6867	gray_zone_structure_supports_cazyme
jgi-Walse1-32178-fgenesh1_kg.7_#_12_#_isotig03878	Walse1	Wallemiomycetes	gray_zone	2A_gray_high	0.785	1	-	-	-	GH20	465	A0A160SXU2	57.8	5.606e-92	0.2724	0.8306	0.5939	gray_zone_ambiguous_structure
jgi-Walse1-61531-estExt_fgenesh1_kg.C_300037	Walse1	Wallemiomycetes	gray_zone	2B_gray_low	0.492	1	-	-	-	AA4	396	A0A7H8QHT1	74.6	1.078e-166	0.4578	0.8694	0.6962	gray_zone_structure_supports_cazyme
jgi-Walse1-48061-estExt_Genewise1.C_200108	Walse1	Wallemiomycetes	high_confidence_cazyme	1B_two_tools_agree	0.514	2	GH188	GH188(6-143)	-	AA1	367	WAH41379.1	47.8	2.942e-69	0.2106	0.9244	0.5864	high_confidence_cazyme
jgi-Walse1-68877-estExt_Genemark1.C_90057	Walse1	Wallemiomycetes	high_confidence_cazyme	1A_all_tools_agree	1.0	3	AA3_2	AA3_2(29-608)	AA3_e21(29-607)	AA3_2	611	I2FPN9	63.5	6.203e-210	0.5762	0.8657	0.7545	high_confidence_cazyme
jgi-Walse1-59929-estExt_fgenesh1_kg.C_50184	Walse1	Wallemiomycetes	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GH31_1	GH31_1(355-805)	GH31_e39(357-806)	GH31_1	950	Q5AU13	64.2	1.057e-321	0.8738	0.8591	0.9017	high_confidence_cazyme
jgi-Walse1-20827-e_gw1.18.175.1	Walse1	Wallemiomycetes	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GT2|GT2	GT2(111-273)	GT2(112-274)+GT2(302-551)	GT2	765	A0A061B4I6	70.5	1.453e-243	0.6684	0.8406	0.7944	high_confidence_cazyme
jgi-Walse1-34988-estExt_Genewise1Plus.C_1_t20331	Walse1	Wallemiomycetes	high_confidence_cazyme	1A_all_tools_agree	0.998175182481752	3	AA1_e41	AA1(31-581)	AA1_e41(32-581)	AA1	621	G8Y1U0	55.4	8.229e-147	0.4178	0.8069	0.6606	high_confidence_cazyme
jgi-Walse1-32274-fgenesh1_kg.7_#_108_#_isotig03107	Walse1	Wallemiomycetes	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GH16_1	GH16_1(117-351)	GH16_e171(115-363)	GH16_1	384	A0A0F7SP25	69.2	5.239e-128	0.3594	0.8041	0.6307	high_confidence_cazyme
jgi-Walse1-30927-fgenesh1_kg.1_#_253_#_isotig00307	Walse1	Wallemiomycetes	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GH31_1	GH31_1(287-822)	GH31_e78(287-822)	GH31_1	949	A0A6F9DDT9	59.6	5.43e-285	0.7807	0.8401	0.8504	high_confidence_cazyme
jgi-Walse1-67431-estExt_Genemark1.C_20352	Walse1	Wallemiomycetes	high_confidence_cazyme	1A_all_tools_agree	1.0	3	CE4_e311	CE4(136-251)	CE4_e311(136-251)	CE4	465	E6ZQZ7	62.6	1.951e-86	0.2585	0.7811	0.5745	high_confidence_cazyme
jgi-Walse1-22100-e_gw1.25.58.1	Walse1	Wallemiomycetes	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GT39_e30	GT39(17-254)	GT39_e30(17-255)	GT39	705	A0A225XVC4	74.6	4.534e-271	0.7346	0.8439	0.8282	high_confidence_cazyme
jgi-Walse1-67783-estExt_Genemark1.C_40087	Walse1	Wallemiomycetes	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GH47_e4	GH47(160-631)	GH47_e4(161-631)	GH47	679	A0A2G5VW02	59.2	1.828e-126	0.3681	0.8622	0.6496	high_confidence_cazyme
jgi-Walse1-66852-estExt_Genemark1.C_10142	Walse1	Wallemiomycetes	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GH140_e15	GH140(29-516)	GH140_e15(30-516)	GH140	522	A0A1R3T1H7	55.2	6.713e-126	0.3603	0.8718	0.6481	high_confidence_cazyme
jgi-Walse1-31136-fgenesh1_kg.2_#_141_#_isotig02073	Walse1	Wallemiomycetes	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GT39_e12	GT39(63-304)	GT39_e12(65-305)	GT39	763	S9R3E3	73.5	1.8100000000000002e-272	0.7415	0.8713	0.8386	high_confidence_cazyme
jgi-Walse1-60513-estExt_fgenesh1_kg.C_110046	Walse1	Wallemiomycetes	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GT20_e19	GT20(134-601)	GT20_e19(131-601)	GT20	915	A0A077WG75	74.5	1.337e-319	0.8668	0.9143	0.912	high_confidence_cazyme
jgi-Walse1-59201-estExt_fgenesh1_kg.C_10313	Walse1	Wallemiomycetes	high_confidence_cazyme	1A_all_tools_agree	1.0	3	GT71_e34	GT71(150-387)	GT71_e34(150-387)	GT71	497	A0A061AM99	56.0	1.088e-76	0.2341	0.8272	0.5739	high_confidence_cazyme
jgi-Walse1-30707-fgenesh1_kg.1_#_33_#_isotig02128	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	704	A0A806IN20	44.0	3.772e-38	0.1375	0.8619	0.5342	high_confidence_non_cazyme
jgi-Walse1-60252-estExt_fgenesh1_kg.C_80051	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	424	A0A090LIW2	60.5	1.2699999999999999e-60	0.1906	0.4936	0.4687	high_confidence_non_cazyme
jgi-Walse1-60359-estExt_fgenesh1_kg.C_90080	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	440	-	0.0		0.0	0.6463	0.4116	high_confidence_non_cazyme
jgi-Walse1-64870-gm1.3209_g	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	254	A0A517SXC2	64.1	6.127e-15	0.0679	0.6983	0.4585	high_confidence_non_cazyme
jgi-Walse1-68464-estExt_Genemark1.C_70025	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	75	-	0.0		0.0	0.5492	0.3873	high_confidence_non_cazyme
jgi-Walse1-56220-estExt_fgenesh1_pg.C_20172	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	716	C5DYZ7	60.0	8.967e-30	0.114	0.7445	0.4931	high_confidence_non_cazyme
jgi-Walse1-60261-estExt_fgenesh1_kg.C_80074	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	479	A0A385BR82	67.0	6.5140000000000005e-102	0.2977	0.7745	0.5925	high_confidence_non_cazyme
jgi-Walse1-39300-estExt_Genewise1Plus.C_140076	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	332	A0A804JV96	38.0	1.191e-06	0.0461	0.6369	0.4323	high_confidence_non_cazyme
jgi-Walse1-70469-estExt_Genemark1.C_250055	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	149	A0A9E7T588	46.7	1.456e-14	0.0635	0.7336	0.4652	high_confidence_non_cazyme
jgi-Walse1-58150-estExt_fgenesh1_pg.C_170042	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	264	UPO98370.1	53.0	1.617e-06	0.0453	0.6983	0.4472	high_confidence_non_cazyme
jgi-Walse1-59275-estExt_fgenesh1_kg.C_20089	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	197	A0A090MUM1	80.2	3.628e-86	0.2454	0.7178	0.5522	high_confidence_non_cazyme
jgi-Walse1-30861-fgenesh1_kg.1_#_187_#_isotig04803	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	302	F3ADU1	42.9	0.0001625	0.04	0.8333	0.4783	high_confidence_non_cazyme
jgi-Walse1-26918-fgenesh1_pg.1_#_320	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	533	A0A7H8QVX7	36.9	5.906e-25	0.0992	0.8452	0.5109	high_confidence_non_cazyme
jgi-Walse1-69968-estExt_Genemark1.C_190025	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	448	A0A834R519	35.2	1.146e-22	0.0923	0.8792	0.5159	high_confidence_non_cazyme
jgi-Walse1-60388-estExt_fgenesh1_kg.C_90118	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	248	BCD96764.1	56.2	8.178e-21	0.0827	0.8149	0.4951	high_confidence_non_cazyme
jgi-Walse1-33242-fgenesh1_kg.16_#_57_#_isotig04523	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	355	WIA09999.1	62.7	1.694e-76	0.2289	0.8316	0.5723	high_confidence_non_cazyme
jgi-Walse1-56740-estExt_fgenesh1_pg.C_50023	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	434	A0A7R9FQ17	36.2	7.516e-17	0.0757	0.8911	0.5106	high_confidence_non_cazyme
jgi-Walse1-61377-estExt_fgenesh1_kg.C_250035	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	732	-	0.0		0.0	0.4566	0.3642	high_confidence_non_cazyme
jgi-Walse1-58970-estExt_fgenesh1_kg.C_10013	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	54	-	0.0		0.0	0.5257	0.3814	high_confidence_non_cazyme
jgi-Walse1-61274-estExt_fgenesh1_kg.C_220096	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	335	A0A0L8RQ12	52.3	2.264e-08	0.0513	0.5623	0.4163	high_confidence_non_cazyme
jgi-Walse1-56191-estExt_fgenesh1_pg.C_20137	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	765	A0A9Q8SJT0	50.6	1.0410000000000001e-63	0.208	0.8075	0.5559	high_confidence_non_cazyme
jgi-Walse1-43560-estExt_Genewise1.C_3_t20105	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	700	A0A2Z5G563	40.0	2.319e-27	0.107	0.7341	0.4871	high_confidence_non_cazyme
jgi-Walse1-32727-fgenesh1_kg.11_#_27_#_isotig05047	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	274	A0A160T5A1	68.0	2.465e-80	0.235	0.832	0.5755	high_confidence_non_cazyme
jgi-Walse1-61028-estExt_fgenesh1_kg.C_180058	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	357	A0A2P7YSB5	52.6	8.259e-26	0.0983	0.6842	0.4702	high_confidence_non_cazyme
jgi-Walse1-15295-e_gw1.3.81.1	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	142	A0A8S2AG55	60.8	1.2770000000000001e-31	0.1062	0.769	0.4953	high_confidence_non_cazyme
jgi-Walse1-28104-fgenesh1_pg.6_#_82	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	732	A0A6F8T014	32.6	2.41e-12	0.0644	0.835	0.4909	high_confidence_non_cazyme
jgi-Walse1-61550-estExt_fgenesh1_kg.C_310018	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	448	A0A7G8WLA8	36.1	3.66e-19	0.0818	0.865	0.5072	high_confidence_non_cazyme
jgi-Walse1-56291-estExt_fgenesh1_pg.C_20254	Walse1	Wallemiomycetes	high_confidence_non_cazyme	3_zero_hits	0.0	0	-	-	-	-	397	A0A3P6CNZ8	34.8	7.677e-08	0.0505	0.6864	0.4468	high_confidence_non_cazyme
jgi-Drest1-424-transcript:EWC48663	Drest1	Orbiliomycetes	gray_zone	2A_gray_high	0.579	1	-	-	-	GT32	376	A0A6L9JGG6	64.6	5.729e-117	0.3316	0.8757	0.6347	gray_zone_structure_supports_cazyme
jgi-Drest1-1004-transcript:EWC47866	Drest1	Orbiliomycetes	gray_zone	2A_gray_high	0.622	1	-	-	-	GT22	711	A0A132AN97	65.0	7.049000000000001e-160	0.4543	0.8657	0.6936	gray_zone_structure_supports_cazyme
jgi-Drest1-3477-transcript:EWC45597	Drest1	Orbiliomycetes	gray_zone	2A_gray_high	0.624	1	-	-	-	GH131	274	A0A160T4P4	57.3	3.1559999999999998e-53	0.1662	0.8891	0.5554	gray_zone_ambiguous_structure
jgi-Drest1-1291-transcript:EWC47835	Drest1	Orbiliomycetes	gray_zone	2B_gray_low	0.494	1	-	-	-	CE8	446	A0A4D6NL19	75.0	1.7580000000000003e-162	0.4491	0.8693	0.6919	gray_zone_structure_supports_cazyme
jgi-Drest1-924-transcript:EWC48089	Drest1	Orbiliomycetes	gray_zone	2B_gray_low	0.455	1	-	-	-	GT8	490	G1XQD6	50.6	3.192e-72	0.2228	0.7581	0.5509	gray_zone_ambiguous_structure
jgi-Drest1-3099-transcript:EWC45872	Drest1	Orbiliomycetes	gray_zone	2B_gray_low	0.304	1	-	-	-	GH127	957	A0A6P1Y1P9	51.5	0.0003773	0.0418	0.6373	0.4302	gray_zone_structure_supports_non_cazyme
jgi-Drest1-4866-transcript:EWC44130	Drest1	Orbiliomycetes	gray_zone	2B_gray_low	0.4529999999999999	1	-	-	-	GH43_30	708	WFD19281.1	71.3	1.022e-198	0.5527	0.801	0.7266	gray_zone_structure_supports_cazyme
jgi-Drest1-2150-transcript:EWC46918	Drest1	Orbiliomycetes	gray_zone	2B_gray_low	0.473	1	-	-	-	AA3_1+AA8	989	A0A5B9QS01	39.2	1.9010000000000001e-50	0.1732	0.7449	0.5228	gray_zone_ambiguous_structure
jgi-Drest1-5013-transcript:EWC43991	Drest1	Orbiliomycetes	gray_zone	2B_gray_low	0.492	1	-	-	-	GT2	2224	-	0.0		0.0	0.4092	0.3523	gray_zone_structure_supports_non_cazyme
jgi-Drest1-2988-transcript:EWC45975	Drest1	Orbiliomycetes	gray_zone	2B_gray_low	0.425	1	-	-	-	GT39	1487	A0A8H8NQI3	42.8	1.671e-186	0.5344	0.6256	0.6736	gray_zone_structure_supports_cazyme
jgi-Drest1-1839-transcript:EWC47112	Drest1	Orbiliomycetes	gray_zone	2A_gray_high	0.57	1	-	-	-	GT22	521	A0A5P9EV76	43.0	5.48e-17	0.0766	0.8079	0.4903	gray_zone_structure_supports_non_cazyme
jgi-Drest1-3300-transcript:EWC45624	Drest1	Orbiliomycetes	gray_zone	2B_gray_low	0.361	1	-	-	-	CE8	1344	A0A8S2ADH0	64.0	3.084e-175	0.5048	0.8256	0.7088	gray_zone_structure_supports_cazyme
jgi-Drest1-1158-transcript:EWC47702	Drest1	Orbiliomycetes	gray_zone	2A_gray_high	0.649	1	-	-	-	CBM50+GH16_18	758	A0A899FR51	35.0	1.858e-40	0.1445	0.8838	0.5432	gray_zone_ambiguous_structure
