protein_id	tier	family	foldseek_3di_best_hit	foldseek_3di_pident	foldseek_3di_evalue	foldseek_3di_bits_norm	saprot_cosine_to_cazyme_centroid	structure_evidence_score
jgi-Armbor1-625494-CE625493_24780	gray_zone	-	A0A7R9BUJ4	57.0	9.799e-251	0.6990	0.8613	0.8148
jgi-Triarc1-718748-estExt_Genewise1.C_400034	gray_zone	-	-	0.0	nan	0.0000	0.6546	0.4137
jgi-PseVKM103_1-7961-transcript:KFY75608	gray_zone	-	-	0.0	nan	0.0000	0.4556	0.3639
jgi-MoepN5512_1-9319-BGZ94_009412-T1	gray_zone	-	A0A8S2AJS5	68.6	5.323e-165	0.4572	0.6154	0.6325
jgi-Morel_U14_1-538537-estExt_Genemark1.C_170200	gray_zone	-	A0A8H8T062	53.0	5.391e-143	0.4232	0.8180	0.6661
jgi-Tolinf1-197341-TINF07537-mRNA-1	gray_zone	-	-	0.0	nan	0.0000	0.6321	0.4080
jgi-Lacbi9312_2-538570-CE538569_1280	gray_zone	-	A0A7H8QT70	73.1	5.086e-122	0.3525	0.7985	0.6259
jgi-Penfr1-1756-transcript:KUM61241	high_confidence_cazyme	GT22_e27	A0A7H8QNK5	66.4	1.098e-164	0.4616	0.8566	0.6950
jgi-Tubgib1-1029513-fgenesh1_pg.14_#_48	high_confidence_non_cazyme	-	-	0.0	nan	0.0000	0.4849	0.3712
jgi-Aspisr1_1-202703-fgenesh1_kg.105_#_1_#_TRINITY_DN9865_c0_g1_i1	gray_zone	-	A0A6M7YVQ6	56.7	1.109e-141	0.4092	0.8446	0.6658
jgi-Suibov1-1241364-fgenesh1_pm.40_#_24	high_confidence_cazyme	GH5_15	A0A8H8SYG5	48.0	1.945e-76	0.2347	0.8062	0.5689
jgi-Pisthe1-1888214-estExt_fgenesh1_pm.C_590024	gray_zone	-	Q7FAU0	35.6	4.192e-33	0.1248	0.7204	0.4925
jgi-Dicsqu463_1-923714-estExt_Genewise1Plus.C_1720045	gray_zone	-	-	0.0	nan	0.0000	0.7308	0.4327
jgi-Thefe1-7245-rna-Corth2p4_3187	high_confidence_cazyme	GH27_e38	A0A383R693	66.9	1.239e-144	0.4058	0.8682	0.6699
jgi-FopisF109_1-782737-fgenesh1_kg.7_#_194_#_TRINITY_DN54831_c0_g1_i1	high_confidence_cazyme	GH93_e5	A0A2T4GV56	58.7	3.25e-122	0.3455	0.7660	0.6143
jgi-Fusma1-12043-transcript:CVK92730	gray_zone	-	A0A9Q8T6W8	52.4	3.117e-72	0.2339	0.7397	0.5519
jgi-Pismi2-4321660-fgenesh1_kg.18_#_863_#_transcript/21241	gray_zone	-	A0A9Q8T231	60.3	2.064e-71	0.2225	0.7144	0.5398
jgi-Nangy1-7229-transcript:EFR03882	high_confidence_cazyme	GT34_e9	A0A1Y6L5W4	71.3	1.132e-98	0.2836	0.8694	0.6092
jgi-Tri5640_1-20236-CE20235_6668	high_confidence_non_cazyme	-	-	0.0	nan	0.0000	0.5294	0.3823
jgi-Crula1-707439-estExt_fgenesh1_pm.C_660016	gray_zone	-	USY56127.1	60.0	2.388e-06	0.0454	0.7398	0.4576
jgi-Aspfloc1-227660-gm1.1731_g	gray_zone	-	UYO05187.1	35.2	0.0001001	0.0419	0.8563	0.4850
jgi-Atrpi1-449986-e_gw1.6.349.1	high_confidence_cazyme	AA7_e0	A0A6M7ZEK4	56.6	1.311e-142	0.4066	0.8671	0.6701
jgi-Podan3-206639-mRNA_5467	high_confidence_cazyme	AA9_e24|CBM1_e49	A0A447BR18	56.5	4.242e-84	0.2461	0.7641	0.5641
jgi-Theste1-8378-rna-Thest2p7_20016	high_confidence_cazyme	AA3_2	G4TRT0	61.4	5.722e-196	0.5428	0.8652	0.7377
jgi-Abobie1-262826-CE262825_3699	high_confidence_cazyme	GH16_1	T2BNH2	60.1	4.748e-92	0.2670	0.8020	0.5840
jgi-Schrad1-224605-gm1.2720_g	high_confidence_cazyme	GT1_e39	A0A2H4SBT1	54.7	3.259e-110	0.3194	0.8968	0.6339
jgi-Aspwest1-285373-MIX498_10_24	high_confidence_cazyme	GT2	A0A8A3P996	57.6	2.107e-127	0.3682	0.8117	0.6370
jgi-Capse1-362894-PV04_05160T0	high_confidence_cazyme	GT24_e1	G9N1T3	47.7	8.543e-96	0.2993	0.6113	0.5525
jgi-Triflo1-199069-CE199068_1204	high_confidence_cazyme	AA7_e0	I1S2K2	45.4	1.417e-67	0.2112	0.8524	0.5687
jgi-Lenrap1-587498-e_gw1.21.664.1	high_confidence_cazyme	GT15_e0	A0A0I9ZRS5	56.1	4.842e-22	0.0820	0.7809	0.4862
jgi-CgaVGIV_1-5071-transcript:KIR84592	high_confidence_cazyme	GT90_e9	A0A225ZWK0	51.8	7.781e-98	0.2932	0.7917	0.5945
jgi-NeoWI3_1-855941-MIX39050_1_6	high_confidence_non_cazyme	-	X6K1P1	36.1	3.752e-12	0.0637	0.5798	0.4268
jgi-LeugonAS2_1-2155967-fgenesh1_pm.128_#_12	high_confidence_non_cazyme	-	A0A4D6KIU9	58.5	3.809e-59	0.1789	0.6993	0.5143
jgi-Aurde3_1-1408963-estExt_Genemark1.C_130313	high_confidence_non_cazyme	-	-	0.0	nan	0.0000	0.5041	0.3760
jgi-Varmin1-72928-fgenesh1_pg.208_#_14	high_confidence_non_cazyme	-	A0A6N9L9S1	73.3	1.944e-06	0.0445	0.6586	0.4369
jgi-LobpulSp1-1050356-fgenesh1_pg.70_#_27	high_confidence_cazyme	GT71_e24	E9D4N8	57.2	4.599e-98	0.2888	0.8750	0.6132
jgi-NsAK0226_1-379025-CE379024_7341	high_confidence_cazyme	GT17_e5	A0A1X7S3V2	63.1	5.507e-113	0.3220	0.8846	0.6321
jgi-Suicol1-2090431-fgenesh1_pm.213_#_2	high_confidence_cazyme	GT2	A0A0J0XF74	59.5	7.173e-199	0.5672	0.8076	0.7355
jgi-Copph3-648314-CE648313_8917	high_confidence_cazyme	CE9_e4	A0A7C8L5G9	55.7	4.442e-152	0.4258	0.8940	0.6864
jgi-Hyparg1-516923-MIX8487_7271_53	high_confidence_cazyme	GT62_e5	Q5BBC1	76.7	1.124e-147	0.4162	0.8229	0.6638
jgi-Cersp395_1-328121-CE328120_19110	high_confidence_non_cazyme	-	A0A0U2JF88	52.3	3.252e-05	0.0428	0.5016	0.3968
jgi-Bissp1-685134-gm1.5631_g	high_confidence_cazyme	GT22_e1	E4ZS54	69.0	1.484e-185	0.5166	0.8602	0.7233
jgi-Fusoxcon1-25352-rna-gnl-WGS:AGNF-mrna_FOPG_10944T0	high_confidence_cazyme	GH32_e108	A0A0X9N9T0	63.7	3.798e-183	0.5079	0.7824	0.6995
jgi-Dacsp1-116371-estExt_Genemark1.C_90269	high_confidence_non_cazyme	-	A0A6L3UU96	42.6	1.521e-06	0.0480	0.7287	0.4562
jgi-Didex1-60758-e_gw1.11.264.1	high_confidence_cazyme	GT2	A0A7T1ME69	43.7	3.053e-44	0.1562	0.8179	0.5326
jgi-Aspthe1-194205-CE194204_14754	high_confidence_cazyme	GT4_e3925	-	0.0	nan	0.0000	0.4294	0.3573
jgi-Ustma2_2-10383-mRNA_UMAG_03117	high_confidence_cazyme	GT1_e64	A0A0F7RXS3	56.0	2.251e-120	0.3508	0.8607	0.6406
jgi-Hypcro1-36738-CE36737_2393	high_confidence_cazyme	CBM66_e12	WFE32751.1	52.7	4.778e-152	0.4354	0.9020	0.6932
jgi-MagorTH3_1-1437310-fgenesh1_kg.11_#_1585_#_HNOBN_transcript/5367	high_confidence_cazyme	GH38_e20	A0A161HNB9	65.3	0.0	0.9869	0.8859	0.9649
jgi-Masph1-491973-e_gw1.9.632.1	high_confidence_non_cazyme	-	A0A6H0Y0D8	36.7	2.906e-23	0.0951	0.7823	0.4931
jgi-Mycgale1-2236389-gm1.23209_g	high_confidence_non_cazyme	-	A0A975A2B9	40.3	0.0001617	0.0401	0.6103	0.4226
jgi-FoxF1010_1-285846-fgenesh1_kg.1_#_585_#_TRINITY_DN13057_c0_g11_i1	high_confidence_cazyme	GT20_e24	A0A7S8D492	73.0	7.212e-308	0.8394	0.9107	0.8974
jgi-Colfi1-282614-mRNA7434	high_confidence_cazyme	GH43_12|CBM91_e33	W9JBP8	59.2	4.134e-188	0.5209	0.8115	0.7133
jgi-Triinh1-138097-CE138096_7893	high_confidence_cazyme	PL7_4	UKZ82874.1	57.5	2.495e-59	0.1806	0.7300	0.5228
jgi-Armmel1-155697-CE155696_18	high_confidence_non_cazyme	-	QCR41364.1	47.8	3.476e-14	0.0646	0.6900	0.4548
jgi-Spaarb1-157514-e_gw1.12.107.1	high_confidence_non_cazyme	-	WJH34432.1	48.6	7.015e-12	0.0602	0.7182	0.4597
jgi-BlugrR1_1-73367-BGHR1_10977-mRNA-1_BLGH_02133	high_confidence_non_cazyme	-	A7YG89	55.2	2.115e-08	0.0532	0.5296	0.4090
jgi-Aspluc1-378054-gm1.1988_g	high_confidence_non_cazyme	-	-	0.0	nan	0.0000	0.5156	0.3789
jgi-Cerbo1-2431-transcript:CEH14390	high_confidence_non_cazyme	-	-	0.0	nan	0.0000	0.4882	0.3720
jgi-Phycpc1-436025-fgenesh1_pg.12_#_98	high_confidence_non_cazyme	-	BCD96764.1	55.8	4.288e-64	0.2129	0.6172	0.5107
jgi-Morco1-561226-estExt_fgenesh1_pg.C_10062	high_confidence_non_cazyme	-	UXY15486.1	45.3	5.049e-57	0.1815	0.8642	0.5568
jgi-Corse1-8529-rna-Corse1p7_5981	high_confidence_non_cazyme	-	A9GXF9	37.0	0.0008009	0.0401	0.6926	0.4432
jgi-Suisu1-772561-fgenesh1_kg.21_#_392_#_TRINITY_DN1048_c0_g1_i1	high_confidence_non_cazyme	-	A0A857Z9U8	32.4	8.633e-10	0.0576	0.8831	0.4996
jgi-Pyrom1-353955-gm1.5722_g	high_confidence_non_cazyme	-	-	0.0	nan	0.0000	0.5143	0.3786
jgi-Patat1-932473-e_gw1.6.299.1	high_confidence_non_cazyme	-	I4ZA50	48.6	2.669e-07	0.0462	0.7207	0.4533
jgi-Hyptru1-424468-gm1.907_g	high_confidence_non_cazyme	-	A0A160T5A1	62.0	1.588e-71	0.2129	0.8427	0.5671
jgi-Mrafri1-404425-fgenesh1_kg.52_#_52_#_TRINITY_DN2024_c0_g1_i3	high_confidence_non_cazyme	-	A0A7R8WLR3	33.9	7.2e-10	0.0567	0.8819	0.4988
jgi-Hyacur1-771576-estExt_Genemark1.C_260273	high_confidence_non_cazyme	-	A0A1Y1CM10	38.8	6.415e-10	0.0550	0.6158	0.4314
jgi-NsAZ0576_1-216414-CE216413_10239	high_confidence_non_cazyme	-	A0A1Y4PI05	36.6	7.38e-10	0.0576	0.5640	0.4198
jgi-Pestal1-472365-e_gw1.15.3.1	high_confidence_non_cazyme	-	A0A8S2A3C3	58.7	1.224e-92	0.2749	0.8264	0.5940
jgi-Denmi1-45224-CE45223_2395	high_confidence_non_cazyme	-	A0A7U0G8H8	81.5	1.97e-07	0.0480	0.6444	0.4351
jgi-Ganpr1-28781-gm1.2105_g	high_confidence_non_cazyme	-	A0A2P1BVT5	52.8	4.888e-29	0.1134	0.5504	0.4443
jgi-Umbelo1-466742-fgenesh1_pg.8_#_130	high_confidence_non_cazyme	-	-	0.0	nan	0.0000	0.4354	0.3588
jgi-Borrad1-1798834-gm1.3873_g	high_confidence_non_cazyme	-	-	0.0	nan	0.0000	0.4408	0.3602
jgi-Nemani1-434486-fgenesh1_kg.124_#_87_#_TRINITY_DN8976_c0_g1_i1	high_confidence_non_cazyme	-	QZS37284.1	46.8	1.473e-21	0.0890	0.7852	0.4908
jgi-Rhicl1-25441-transcript:GBB89553	high_confidence_non_cazyme	-	-	0.0	nan	0.0000	0.5409	0.3852
jgi-Schco2251_1-292255-fgenesh1_pm.93_#_7	high_confidence_non_cazyme	-	A0A097F8I3	55.7	2.372e-199	0.5654	0.9065	0.7593
jgi-Xylber1-595155-fgenesh1_kg.37_#_284_#_TRINITY_DN9201_c0_g1_i1	high_confidence_non_cazyme	-	A0A9Q9RZY5	44.4	4.725e-35	0.1213	0.8530	0.5239
jgi-Penfla1-9856-PENFLA_c007G09656T0	gray_zone	-	UPK92553.1	54.5	2.157e-68	0.2147	0.7867	0.5540
jgi-Lbo_TFB10827_1-1782907-fgenesh1_kg.276_#_44_#_TRINITY_DN2817_c0_g2_i2	gray_zone	-	A0A411E8M8	52.8	7.665e-20	0.0846	0.7741	0.4859
jgi-RusdecM1-1077168-fgenesh1_kg.110_#_48_#_TRINITY_DN5861_c1_g5_i4	high_confidence_cazyme	GH63_e12	A0A180GXU1	63.9	5.407e-255	0.7007	0.8796	0.8202
jgi-FopisF79_1-583695-fgenesh1_kg.21_#_480_#_TRINITY_DN22707_c0_g1_i1	gray_zone	-	A0A285M1I9	59.5	1.495e-13	0.0681	0.6566	0.4482
jgi-Hygaur1-1138545-fgenesh1_pm.896_#_1	gray_zone	-	A0A975JCM1	44.2	1.138e-05	0.0462	0.6682	0.4402
jgi-Morfluv1-735818-fgenesh1_kg.2_#_2922_#_TRINITY_DN297_c1_g1_i1	gray_zone	-	A0A8D9MIV1	46.7	8.087e-155	0.4538	0.8658	0.6933
jgi-Rhivi1-789743-fgenesh1_pm.23_#_17	gray_zone	-	UJX40990.1	64.1	7.615e-18	0.0812	0.7520	0.4786
jgi-Muloch1-1622841-e_gw1.2.1414.1	gray_zone	-	M2QHQ6	36.0	7.518e-17	0.0777	0.7651	0.4801
jgi-Aspfla1-233378-fgenesh1_kg.84_#_112_#_TRINITY_DN2812_c0_g1_i1	gray_zone	-	A0A517LFT9	61.6	8.066e-129	0.3831	0.7252	0.6228
jgi-Necsp1-293299-CE293298_33333	gray_zone	-	X4ZU40	68.4	1.077e-07	0.0506	0.6357	0.4342
jgi-Mycepi1-895144-gm1.31762_g	high_confidence_cazyme	GH18_e391	A0A5K1JX71	53.1	1.418e-67	0.2068	0.7512	0.5412
jgi-LedVB361_1-989365-gm1.5832_g	gray_zone	-	-	0.0	nan	0.0000	0.4564	0.3641
jgi-Acrvag1-342471-CE342470_55093	gray_zone	-	A0A2K9P0H8	58.5	2.483e-15	0.0698	0.8071	0.4867
jgi-FusspF11_1-895806-estExt_fgenesh1_pm.C_7_t10254	gray_zone	-	A0A9Q8T2G0	56.4	5.907e-52	0.1702	0.8041	0.5361
jgi-HypEC38_3-331445-e_gw1.17.114.1	high_confidence_cazyme	GT15_e0	A0A061BIW8	76.0	1.493e-151	0.4206	0.8503	0.6729
jgi-Zasce1-60636-fgenesh1_pg.56_#_58	gray_zone	-	A0A160T5A1	52.0	4.525e-59	0.1841	0.8939	0.5655
jgi-Mycflo1-1091608-MIX19413_8_26	gray_zone	-	-	0.0	nan	0.0000	0.4277	0.3569
jgi-Aspcal1-771229-ASPCAL09228	gray_zone	-	A0A9W8R2E6	71.4	8.48e-104	0.3045	0.7906	0.5999
jgi-Fusoxrad1-13620-rna-gnl-WGS:AGNB-mrna_FOCG_03857T0	gray_zone	-	A8WQ62	57.3	7.374e-101	0.2932	0.8986	0.6213
jgi-Achma1-40449-fgenesh1_pm.9_#_19	gray_zone	-	A0A7H8QK02	60.7	3.459e-88	0.2653	0.8131	0.5859
jgi-Aspneow1-186798-fgenesh1_kg.9_#_456_#_TRINITY_DN2040_c0_g1_i1	gray_zone	-	A0A7R8X4I3	67.2	4.542e-148	0.4171	0.8942	0.6821
jgi-MagorFR13_1-1962487-fgenesh1_kg.3_#_18894_#_TRINITY_DN6724_c0_g1_i6	gray_zone	-	A0A9Q8ZAJ7	69.4	1.424e-49	0.1562	0.7664	0.5197
jgi-Schque1-104159-fgenesh1_kg.5_#_207_#_TRINITY_DN389_c0_g3_i1	gray_zone	-	A0A160SXU2	56.9	1.617e-94	0.2792	0.8696	0.6070
jgi-Paxru2-132497-Paxru1.e_gw1.43.89.1	gray_zone	-	-	0.0	nan	0.0000	0.7448	0.4362
jgi-Myceu1-7093-transcript:KXT03341	gray_zone	-	-	0.0	nan	0.0000	0.4406	0.3602
jgi-Conioc1-1178890-fgenesh1_pm.37_#_4	gray_zone	-	A0A9Q8T7M0	53.9	4.307e-195	0.5532	0.9226	0.7573
jgi-Irplac1183_1-1248635-CE1248634_32779	high_confidence_cazyme	GH79_e13	UZJ57367.1	54.9	4.543e-122	0.3551	0.8165	0.6317
jgi-Pcas15300_1-329679-MIX2034_6412_99	gray_zone	-	A0A7H8RC90	53.7	3.101e-237	0.6649	0.8827	0.8031
jgi-Phiasp1-234532-CE234531_4544	high_confidence_cazyme	AA2_e1	WIA39915.1	48.8	3.886e-118	0.3508	0.7919	0.6234
jgi-Colce1-757900-estExt_fgenesh1_pm.C_550020	gray_zone	-	A0A9Q8WP62	41.5	1.402e-134	0.3927	0.8574	0.6607
jgi-Myclep1-2308066-gm1.8878_g	gray_zone	-	-	0.0	nan	0.0000	0.4853	0.3713
jgi-Mycami1-973124-e_gw1.2.839.1	high_confidence_non_cazyme	-	A0A075GTN1	43.5	2.3e-25	0.1003	0.8600	0.5152
jgi-Nakbac1-233-BN123_NABA0s10e01287g.tr	gray_zone	-	A0A4V6ENM3	33.6	7.508e-11	0.0593	0.8705	0.4973
jgi-Cyapal1-661846-gm4.13292_g	gray_zone	-	C0LAM1	66.0	3.533e-53	0.1614	0.7465	0.5173
jgi-Crypto1-128808-CE128807_21620	gray_zone	-	A0A1L6HBM6	81.6	1.992e-13	0.0620	0.5524	0.4191
jgi-Aspneoi1-243067-fgenesh1_pm.7_#_107	gray_zone	-	-	0.0	nan	0.0000	0.7428	0.4357
jgi-Pismar1-2743432-fgenesh1_kg.173_#_19_#_TRINITY_DN18979_c2_g3_i2	high_confidence_cazyme	GH79_e13	A0A8H8IQB1	62.8	6.904e-159	0.4503	0.8100	0.6776
jgi-Aspsubr1-300433-gm1.4589_g	gray_zone	-	A0A8H8NMR2	63.7	4.01e-199	0.5585	0.8226	0.7349
jgi-FvanT31_1-365940-gm1.8047_g	gray_zone	-	QYO62262.1	67.1	5.311e-112	0.3342	0.7819	0.6126
jgi-MoanKOD1229_1-5486-BGZ75_005571-T1	gray_zone	-	A0A8H8T062	56.5	1.049e-140	0.4171	0.8192	0.6634
jgi-Denna1-491218-estExt_Genewise1Plus.C_10_t30063	gray_zone	-	A0A2U9C9T3	60.0	9.465e-199	0.5532	0.8687	0.7438
jgi-Bolvit1-1238018-fgenesh1_kg.14_#_1080_#_TRINITY_DN5431_c1_g1_i8	gray_zone	-	F2K4N5	50.8	0.0002358	0.0410	0.8159	0.4745
jgi-Aspter1-205847-fgenesh1_pm.13_#_28	gray_zone	-	A0A7R8W750	64.6	6.024e-65	0.1998	0.8217	0.5553
jgi-CocheC5_4m-1126054-CocheC5_3.estExt_Genewise1.C_2_t10102	gray_zone	-	A0A9E8STS7	48.2	3.945e-11	0.0602	0.7993	0.4799
jgi-Idrluna1-839802-fgenesh1_kg.6_#_2269_#_TRINITY_DN2009_c0_g1_i1	gray_zone	-	A0A815QM16	74.4	4.858e-137	0.3813	0.7871	0.6374
jgi-Triaet1-368382-MIX5676_273_28	gray_zone	-	-	0.0	nan	0.0000	0.4411	0.3603
jgi-Annmin1-288528-CE288527_4189	gray_zone	-	A0A7S8CZV9	71.0	7.064e-131	0.3787	0.7955	0.6382
jgi-Helpul1-633466-fgenesh1_pm.7_#_110	gray_zone	-	E8V3D1	55.6	2.65e-54	0.1806	0.7648	0.5315
jgi-Trigha1-468991-fgenesh1_pm.5_#_144	gray_zone	-	K8EM54	34.2	2.904e-49	0.1675	0.8397	0.5437
jgi-Mycpol1-1385728-MIX32120_362_31	gray_zone	-	A0A9Q8Z2Q8	63.3	3.839e-51	0.1658	0.7473	0.5197
jgi-Lenrap1_155-92870-fgenesh1_pm.58_#_17	gray_zone	-	A0A8H8T062	48.3	1.389e-116	0.3543	0.6903	0.5997
jgi-Ilyeu1-626469-fgenesh1_pm.1_#_46	gray_zone	-	A0A7T0JS56	53.7	5.211e-76	0.2452	0.6772	0.5419
jgi-Ser400_1-1195251-gm1.1573_g	gray_zone	-	A0A8H8P159	71.0	2.732e-250	0.6815	0.8732	0.8091
jgi-ThoPMI491_1-761835-fgenesh1_pg.12_#_49	gray_zone	-	A0A1P8QYK1	38.8	2.472e-08	0.0515	0.7807	0.4709
jgi-Mycvul1-1340957-gm1.41672_g	high_confidence_non_cazyme	-	G8ZW16	56.2	3.513e-09	0.0541	0.7269	0.4588
jgi-Trigil1-439566-CE439565_9869	gray_zone	-	WFD15262.1	58.8	1.089e-81	0.2478	0.7532	0.5622
jgi-Pseve2-449898-fgenesh1_kg.20_#_196_#_TRINITY_DN18934_c0_g1_i1	gray_zone	-	C3N1Q4	40.2	0.0001646	0.0419	0.5440	0.4069
jgi-Suisib1-2408951-MIX86255_8_2	gray_zone	-	-	0.0	nan	0.0000	0.4153	0.3538
jgi-Cersam1-381061-MIX3283_23_86	high_confidence_cazyme	GH5_5	Q7SDR1	74.8	1.685e-148	0.4127	0.8308	0.6641
jgi-Pbif18543_1-405468-gm4.4404_g	gray_zone	-	WFD20538.1	77.5	2.778e-175	0.4808	0.6804	0.6605
jgi-Asppul1-478364-fgenesh1_pm.1_#_217	gray_zone	-	A0A9Q8SE66	50.0	1.81e-102	0.3019	0.8584	0.6156
jgi-Lopma1-626860-estExt_Genewise1.C_400004	gray_zone	-	A0A7R8ZIV0	54.0	9.197e-214	0.5995	0.8608	0.7649
jgi-Aspcaesp1-5365-CE5364_329	gray_zone	-	A0A8S2A3C3	52.5	1.213e-59	0.1867	0.7769	0.5376
jgi-Fusoxcub1-3388-rna-gnl-WGS:AGND-mrna_FOIG_07410T0	high_confidence_non_cazyme	-	A0A2Z5G0X4	36.7	0.0009008	0.0384	0.8959	0.4932
jgi-Cypeu1-114679-HMPREF1541_04776T0	gray_zone	-	A0A160T4P4	58.0	2.362e-54	0.1702	0.8748	0.5538
jgi-Rhivul1-859119-estExt_fgenesh1_pm.C_330046	gray_zone	-	ULT96439.1	57.5	1.817e-201	0.5716	0.8815	0.7562
jgi-Cadosp1-523502-fgenesh1_kg.8_#_806_#_TRINITY_DN9599_c0_g1_i1	gray_zone	-	A0A9D5LX34	41.2	2.647e-06	0.0471	0.7210	0.4538
jgi-Fusspo1-828549-fgenesh1_kg.1_#_8157_#_TRINITY_DN6406_c0_g2_i1	high_confidence_non_cazyme	-	A0A8S2A7F3	44.7	2.573e-09	0.0532	0.6275	0.4335
jgi-TriharM10_1-438251-fgenesh1_kg.71_#_26_#_TRINITY_DN7499_c0_g1_i1	gray_zone	-	WJH34961.1	27.7	1.339e-10	0.0593	0.8443	0.4908
jgi-Asplup1-198953-fgenesh1_kg.78_#_13_#_TRINITY_DN3752_c0_g2_i2	high_confidence_cazyme	AA7_e5	A0A6M7ZEK4	56.1	4.68e-131	0.3778	0.8684	0.6560
jgi-Fusdim1-372520-MIX1789_24_50	high_confidence_cazyme	CBM67_e28|GH78_e16	A0A7G5JI71	60.7	1.125e-290	0.7958	0.8728	0.8661
jgi-Asptaic1-175301-fgenesh1_kg.85_#_80_#_TRINITY_DN9203_c0_g1_i1	gray_zone	-	F9FT76	66.7	5.758e-88	0.2539	0.8999	0.6019
jgi-Asppern1-91349-CE91348_88	high_confidence_cazyme	CE4_e357	A0A173G919	71.5	1.797e-81	0.2382	0.8606	0.5843
jgi-MelPMI1271_1-497114-MIX24893_12_19	gray_zone	-	E3QNN8	60.5	2.187e-163	0.4668	0.6859	0.6549
jgi-Aspca4-1114204-fgenesh1_kg.7_#_3370_#_TRINITY_DN9431_c0_g1_i1	gray_zone	-	-	0.0	nan	0.0000	0.4429	0.3607
jgi-Stalo1-47255-fgenesh1_pm.623_#_1	high_confidence_cazyme	CBM50_e488|CBM50_e709|CBM50_e570|CBM50_e137	G9NJY3	70.2	1.047e-122	0.3499	0.6675	0.5918
jgi-XyFL0064_1-137551-CE137550_17375	gray_zone	-	A0A517L639	56.9	2.232e-152	0.4415	0.8024	0.6714
jgi-Mormul1-172799-CE172798_7330	gray_zone	-	A0A7R9A533	40.6	1.777e-63	0.2112	0.6595	0.5205
jgi-Rhoto_IFO0880_4-10951-fgenesh1_kg.14_#_600_#_TRINITY_DN3313_c3_g1_i5_mRNA	gray_zone	-	A0A4D6L7Y4	44.0	2.481e-217	0.6143	0.5083	0.6842
jgi-Bisnum1-593303-fgenesh1_kg.17_#_150_#_TRINITY_DN814_c0_g1_i1	gray_zone	-	A0A7R9BFN1	60.9	4.696e-110	0.3351	0.6783	0.5871
jgi-Jahaq1-265829-CE265828_5055	gray_zone	-	A0A7H8RC08	69.9	1.961e-98	0.2801	0.8317	0.5980
jgi-Cercau1-439333-e_gw1.7.3173.1	gray_zone	-	A0A0G3EG55	37.3	1.013e-08	0.0532	0.8352	0.4854
jgi-Cocmi1-37644-fgenesh1_pm.84_#_36	gray_zone	-	A0A3P5ZAK4	52.8	1.26e-82	0.2635	0.6925	0.5549
jgi-XylFL1019-382803-fgenesh1_kg.10_#_300_#_TRINITY_DN11429_c0_g1_i1	gray_zone	-	A0A7R8CGG6	40.3	5.37e-43	0.1483	0.7835	0.5201
jgi-Dacruf1-2271574-e_gw1.25.31.1	gray_zone	-	A0A7R8XF07	64.0	1.897e-185	0.5192	0.8565	0.7237
jgi-Cerun2-366267-fgenesh1_pg.4_#_110	high_confidence_cazyme	GH20_e17	A0A9Q8WPA7	46.6	7.36e-92	0.2818	0.8506	0.6036
jgi-Fusoxalb1-888651-MIX13673_2_16	gray_zone	-	A0A7H8R1M0	65.0	3.531e-108	0.3159	0.8054	0.6093
jgi-Aspnut1-199087-fgenesh1_kg.4_#_553_#_TRINITY_DN4905_c0_g2_i1	gray_zone	-	A0A6V7PD66	61.3	8.837e-122	0.3455	0.7416	0.6082
jgi-Blader1-6219-transcript:EEQ88380	high_confidence_non_cazyme	-	A0A1G4GAH0	46.7	8.336e-07	0.0480	0.8573	0.4883
jgi-Penla1-392626-fgenesh1_pm.7_#_72	gray_zone	-	A0A9W8R2E6	58.1	1.138e-53	0.1832	0.5860	0.4881
jgi-Anntru1-469180-MIX3092_10680_72	gray_zone	-	A0A7R8HE42	59.3	6.649e-55	0.1789	0.7993	0.5393
jgi-Diahe1-6995-transcript:POS68786	gray_zone	-	A0A8H8P5D7	75.3	7.309e-199	0.5445	0.8665	0.7389
jgi-Fusox32931-4014-rna-gnl-WGS:AFML-mrna_FOYG_15234T0	high_confidence_non_cazyme	-	A0A345JSC1	36.4	6.328e-05	0.0419	0.8097	0.4734
jgi-Stely1-7001-TW65_07389T0	gray_zone	-	A0A6H1NLM9	39.5	3.781e-06	0.0471	0.6684	0.4407
jgi-Cerbe1-8773-transcript:PPJ56343	gray_zone	-	A0A0F8QKG7	41.7	2.167e-21	0.0890	0.9140	0.5230
jgi-Tramax1-1158445-estExt_Genewise1.C_1_t30014	gray_zone	-	A0A899FYG3	72.3	2.263e-132	0.3700	0.8023	0.6356
jgi-Gloci1-1722324-gm1.6311_g	gray_zone	-	A0A9Q9DVU5	61.5	1.195e-82	0.2522	0.8035	0.5770
jgi-LraJLM1587_1-1525832-fgenesh1_kg.31_#_287_#_TRINITY_DN5787_c1_g1_i1	gray_zone	-	A0A4D6MPM3	73.8	3.039e-94	0.2801	0.8153	0.5939
jgi-Lacdel1-2350180-fgenesh1_kg.6_#_2818_#_TRINITY_DN12083_c1_g2_i1	gray_zone	-	A0A7D5UXM5	50.4	1.893e-49	0.1579	0.8086	0.5311
jgi-Liptetr1-255260-CE255259_123138	gray_zone	-	A0A9Q8WF83	84.0	3.606e-147	0.4119	0.7606	0.6461
jgi-FopisF105_1-357826-fgenesh1_pm.5_#_392	gray_zone	-	A0A9Q9RW12	43.4	1.5e-53	0.1824	0.8614	0.5565
