protein_id	tier	adjudicated_tier	family	foldseek_3di_best_hit	foldseek_3di_pident	foldseek_3di_evalue	foldseek_3di_bits_norm	saprot_cosine_to_cazyme_centroid	structure_evidence_score
jgi-Lacqui1-1771420-fgenesh1_pm.59_#_18	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8H8NSE9	70.9	1.234e-111	0.3176	0.8357	0.6177
jgi-Boled5-3551305-fgenesh1_kg.25_#_528_#_Locus13144v2rpkm9.27	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A1S9DVV1	70.2	1.662e-110	0.3229	0.783	0.6072
jgi-Pbif18567_1-201679-CE201678_119	high_confidence_cazyme	high_confidence_cazyme	CE3_e20	A0A5Q3DP49	79.4	3.187e-95	0.274	0.8712	0.6048
jgi-Extant1-533691-e_gw1.21.106.1	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8H8SRQ2	64.0	6.6e-224	0.6169	0.8288	0.7657
jgi-Melpu1-377599-estExt_Genemark1.C_3430010	high_confidence_cazyme	high_confidence_cazyme	AA7_e0	A0A173G9Q2	52.4	6.754e-100	0.2932	0.8828	0.6173
jgi-Lenlat1-174422-CE174421_1608	high_confidence_non_cazyme	high_confidence_non_cazyme	-	-	0.0		0.0	0.7447	0.4362
jgi-Armbor1-625494-CE625493_24780	gray_zone	gray_zone_structure_supports_cazyme	-	A0A7R9BUJ4	57.0	9.799e-251	0.699	0.8736	0.8179
jgi-Triarc1-718748-estExt_Genewise1.C_400034	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.6785	0.4196
jgi-PseVKM103_1-7961-transcript:KFY75608	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.4689	0.3672
jgi-MoepN5512_1-9319-BGZ94_009412-T1	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8S2AJS5	68.6	5.323000000000001e-165	0.4572	0.6156	0.6325
jgi-Morel_U14_1-538537-estExt_Genemark1.C_170200	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8H8T062	53.0	5.391e-143	0.4232	0.8377	0.671
jgi-Tolinf1-197341-TINF07537-mRNA-1	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.6525	0.4131
jgi-Lacbi9312_2-538570-CE538569_1280	gray_zone	gray_zone_structure_supports_cazyme	-	A0A7H8QT70	73.1	5.086e-122	0.3525	0.8127	0.6294
jgi-Penfr1-1756-transcript:KUM61241	high_confidence_cazyme	high_confidence_cazyme	GT22_e27	A0A7H8QNK5	66.4	1.098e-164	0.4616	0.8678	0.6978
jgi-Tubgib1-1029513-fgenesh1_pg.14_#_48	high_confidence_non_cazyme	high_confidence_non_cazyme	-	-	0.0		0.0	0.5039	0.376
jgi-Aspisr1_1-202703-fgenesh1_kg.105_#_1_#_TRINITY_DN9865_c0_g1_i1	gray_zone	gray_zone_structure_supports_cazyme	-	A0A6M7YVQ6	56.7	1.109e-141	0.4092	0.85	0.6671
jgi-Suibov1-1241364-fgenesh1_pm.40_#_24	high_confidence_cazyme	high_confidence_cazyme	GH5_15	A0A8H8SYG5	48.0	1.945e-76	0.2347	0.8318	0.5753
jgi-Pisthe1-1888214-estExt_fgenesh1_pm.C_590024	gray_zone	gray_zone_structure_supports_non_cazyme	-	Q7FAU0	35.6	4.192e-33	0.1248	0.7346	0.496
jgi-Dicsqu463_1-923714-estExt_Genewise1Plus.C_1720045	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.7386	0.4346
jgi-Thefe1-7245-rna-Corth2p4_3187	high_confidence_cazyme	high_confidence_cazyme	GH27_e38	A0A383R693	66.9	1.239e-144	0.4058	0.8791	0.6726
jgi-FopisF109_1-782737-fgenesh1_kg.7_#_194_#_TRINITY_DN54831_c0_g1_i1	high_confidence_cazyme	high_confidence_cazyme	GH93_e5	A0A2T4GV56	58.7	3.2500000000000004e-122	0.3455	0.7725	0.6159
jgi-Fusma1-12043-transcript:CVK92730	gray_zone	gray_zone_ambiguous_structure	-	A0A9Q8T6W8	52.4	3.117e-72	0.2339	0.7607	0.5571
jgi-Pismi2-4321660-fgenesh1_kg.18_#_863_#_transcript/21241	gray_zone	gray_zone_ambiguous_structure	-	A0A9Q8T231	60.3	2.064e-71	0.2225	0.7313	0.5441
jgi-Nangy1-7229-transcript:EFR03882	high_confidence_cazyme	high_confidence_cazyme	GT34_e9	A0A1Y6L5W4	71.3	1.132e-98	0.2836	0.8864	0.6134
jgi-Tri5640_1-20236-CE20235_6668	high_confidence_non_cazyme	high_confidence_non_cazyme	-	-	0.0		0.0	0.5509	0.3877
jgi-Crula1-707439-estExt_fgenesh1_pm.C_660016	gray_zone	gray_zone_structure_supports_non_cazyme	-	USY56127.1	60.0	2.388e-06	0.0454	0.7363	0.4568
jgi-Aspfloc1-227660-gm1.1731_g	gray_zone	gray_zone_structure_supports_non_cazyme	-	UYO05187.1	35.2	0.0001001	0.0419	0.8692	0.4882
jgi-Atrpi1-449986-e_gw1.6.349.1	high_confidence_cazyme	high_confidence_cazyme	AA7_e0	A0A6M7ZEK4	56.6	1.3110000000000001e-142	0.4066	0.8824	0.6739
jgi-Podan3-206639-mRNA_5467	high_confidence_cazyme	high_confidence_cazyme	AA9_e24|CBM1_e49	A0A447BR18	56.5	4.242e-84	0.2461	0.7761	0.5671
jgi-Theste1-8378-rna-Thest2p7_20016	high_confidence_cazyme	high_confidence_cazyme	AA3_2	G4TRT0	61.4	5.721999999999999e-196	0.5428	0.8727	0.7395
jgi-Abobie1-262826-CE262825_3699	high_confidence_cazyme	high_confidence_cazyme	GH16_1	T2BNH2	60.1	4.748e-92	0.267	0.8219	0.589
jgi-Schrad1-224605-gm1.2720_g	high_confidence_cazyme	high_confidence_cazyme	GT1_e39	A0A2H4SBT1	54.7	3.259e-110	0.3194	0.8983	0.6343
jgi-Aspwest1-285373-MIX498_10_24	high_confidence_cazyme	high_confidence_cazyme	GT2	A0A8A3P996	57.6	2.107e-127	0.3682	0.826	0.6406
jgi-Capse1-362894-PV04_05160T0	high_confidence_cazyme	high_confidence_cazyme	GT24_e1	G9N1T3	47.7	8.543000000000001e-96	0.2993	0.6294	0.557
jgi-Triflo1-199069-CE199068_1204	high_confidence_cazyme	high_confidence_cazyme	AA7_e0	I1S2K2	45.4	1.4169999999999999e-67	0.2112	0.8582	0.5701
jgi-Lenrap1-587498-e_gw1.21.664.1	high_confidence_cazyme	high_confidence_cazyme	GT15_e0	A0A0I9ZRS5	56.1	4.842e-22	0.082	0.8025	0.4916
jgi-CgaVGIV_1-5071-transcript:KIR84592	high_confidence_cazyme	high_confidence_cazyme	GT90_e9	A0A225ZWK0	51.8	7.781e-98	0.2932	0.8155	0.6005
jgi-NeoWI3_1-855941-MIX39050_1_6	high_confidence_non_cazyme	high_confidence_non_cazyme	-	X6K1P1	36.1	3.752e-12	0.0637	0.6047	0.433
jgi-LeugonAS2_1-2155967-fgenesh1_pm.128_#_12	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A4D6KIU9	58.5	3.809e-59	0.1789	0.6935	0.5128
jgi-Aurde3_1-1408963-estExt_Genemark1.C_130313	high_confidence_non_cazyme	high_confidence_non_cazyme	-	-	0.0		0.0	0.5215	0.3804
jgi-Varmin1-72928-fgenesh1_pg.208_#_14	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A6N9L9S1	73.3	1.944e-06	0.0445	0.6736	0.4407
jgi-LobpulSp1-1050356-fgenesh1_pg.70_#_27	high_confidence_cazyme	high_confidence_cazyme	GT71_e24	E9D4N8	57.2	4.599e-98	0.2888	0.8936	0.6178
jgi-NsAK0226_1-379025-CE379024_7341	high_confidence_cazyme	high_confidence_cazyme	GT17_e5	A0A1X7S3V2	63.1	5.507e-113	0.322	0.8996	0.6359
jgi-Suicol1-2090431-fgenesh1_pm.213_#_2	high_confidence_cazyme	high_confidence_cazyme	GT2	A0A0J0XF74	59.5	7.173000000000001e-199	0.5672	0.8353	0.7424
jgi-Copph3-648314-CE648313_8917	high_confidence_cazyme	high_confidence_cazyme	CE9_e4	A0A7C8L5G9	55.7	4.442e-152	0.4258	0.9037	0.6888
jgi-Hyparg1-516923-MIX8487_7271_53	high_confidence_cazyme	high_confidence_cazyme	GT62_e5	Q5BBC1	76.7	1.1240000000000001e-147	0.4162	0.8381	0.6676
jgi-Cersp395_1-328121-CE328120_19110	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A0U2JF88	52.3	3.252e-05	0.0428	0.5168	0.4006
jgi-Bissp1-685134-gm1.5631_g	high_confidence_cazyme	high_confidence_cazyme	GT22_e1	E4ZS54	69.0	1.484e-185	0.5166	0.8791	0.7281
jgi-Fusoxcon1-25352-rna-gnl-WGS:AGNF-mrna_FOPG_10944T0	high_confidence_cazyme	high_confidence_cazyme	GH32_e108	A0A0X9N9T0	63.7	3.798e-183	0.5079	0.7956	0.7028
jgi-Dacsp1-116371-estExt_Genemark1.C_90269	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A6L3UU96	42.6	1.521e-06	0.048	0.7558	0.463
jgi-Didex1-60758-e_gw1.11.264.1	high_confidence_cazyme	high_confidence_cazyme	GT2	A0A7T1ME69	43.7	3.0529999999999997e-44	0.1562	0.8379	0.5376
jgi-Aspthe1-194205-CE194204_14754	high_confidence_cazyme	high_confidence_cazyme	GT4_e3925	-	0.0		0.0	0.4451	0.3613
jgi-Ustma2_2-10383-mRNA_UMAG_03117	high_confidence_cazyme	high_confidence_cazyme	GT1_e64	A0A0F7RXS3	56.0	2.2510000000000002e-120	0.3508	0.877	0.6447
jgi-Hypcro1-36738-CE36737_2393	high_confidence_cazyme	high_confidence_cazyme	CBM66_e12	WFE32751.1	52.7	4.778e-152	0.4354	0.8953	0.6915
jgi-MagorTH3_1-1437310-fgenesh1_kg.11_#_1585_#_HNOBN_transcript/5367	high_confidence_cazyme	high_confidence_cazyme	GH38_e20	A0A161HNB9	65.3	0.0	0.9869	0.8983	0.968
jgi-Masph1-491973-e_gw1.9.632.1	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A6H0Y0D8	36.7	2.906e-23	0.0951	0.8007	0.4977
jgi-Mycgale1-2236389-gm1.23209_g	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A975A2B9	40.3	0.0001617	0.0401	0.6196	0.425
jgi-FoxF1010_1-285846-fgenesh1_kg.1_#_585_#_TRINITY_DN13057_c0_g11_i1	high_confidence_cazyme	high_confidence_cazyme	GT20_e24	A0A7S8D492	73.0	7.212e-308	0.8394	0.9244	0.9008
jgi-Colfi1-282614-mRNA7434	high_confidence_cazyme	high_confidence_cazyme	GH43_12|CBM91_e33	W9JBP8	59.2	4.134e-188	0.5209	0.8228	0.7162
jgi-Triinh1-138097-CE138096_7893	high_confidence_cazyme	high_confidence_cazyme	PL7_4	UKZ82874.1	57.5	2.495e-59	0.1806	0.7452	0.5266
jgi-Armmel1-155697-CE155696_18	high_confidence_non_cazyme	high_confidence_non_cazyme	-	QCR41364.1	47.8	3.476e-14	0.0646	0.7071	0.4591
jgi-Spaarb1-157514-e_gw1.12.107.1	high_confidence_non_cazyme	high_confidence_non_cazyme	-	WJH34432.1	48.6	7.015e-12	0.0602	0.7413	0.4654
jgi-BlugrR1_1-73367-BGHR1_10977-mRNA-1_BLGH_02133	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A7YG89	55.2	2.115e-08	0.0532	0.5539	0.4151
jgi-Aspluc1-378054-gm1.1988_g	high_confidence_non_cazyme	high_confidence_non_cazyme	-	-	0.0		0.0	0.5413	0.3853
jgi-Cerbo1-2431-transcript:CEH14390	high_confidence_non_cazyme	high_confidence_non_cazyme	-	-	0.0		0.0	0.4966	0.3742
jgi-Phycpc1-436025-fgenesh1_pg.12_#_98	high_confidence_non_cazyme	high_confidence_non_cazyme	-	BCD96764.1	55.8	4.288e-64	0.2129	0.6365	0.5156
jgi-Morco1-561226-estExt_fgenesh1_pg.C_10062	high_confidence_non_cazyme	high_confidence_non_cazyme	-	UXY15486.1	45.3	5.0490000000000003e-57	0.1815	0.8785	0.5604
jgi-Corse1-8529-rna-Corse1p7_5981	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A9GXF9	37.0	0.0008009	0.0401	0.7098	0.4475
jgi-Suisu1-772561-fgenesh1_kg.21_#_392_#_TRINITY_DN1048_c0_g1_i1	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A857Z9U8	32.4	8.633e-10	0.0576	0.8895	0.5012
jgi-Pyrom1-353955-gm1.5722_g	high_confidence_non_cazyme	high_confidence_non_cazyme	-	-	0.0		0.0	0.5383	0.3846
jgi-Patat1-932473-e_gw1.6.299.1	high_confidence_non_cazyme	high_confidence_non_cazyme	-	I4ZA50	48.6	2.669e-07	0.0462	0.7388	0.4578
jgi-Hyptru1-424468-gm1.907_g	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A160T5A1	62.0	1.588e-71	0.2129	0.8375	0.5658
jgi-Mrafri1-404425-fgenesh1_kg.52_#_52_#_TRINITY_DN2024_c0_g1_i3	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A7R8WLR3	33.9	7.2e-10	0.0567	0.8838	0.4993
jgi-Hyacur1-771576-estExt_Genemark1.C_260273	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A1Y1CM10	38.8	6.415e-10	0.055	0.6303	0.435
jgi-NsAZ0576_1-216414-CE216413_10239	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A1Y4PI05	36.6	7.38e-10	0.0576	0.5838	0.4247
jgi-Pestal1-472365-e_gw1.15.3.1	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A8S2A3C3	58.7	1.224e-92	0.2749	0.8371	0.5967
jgi-Denmi1-45224-CE45223_2395	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A7U0G8H8	81.5	1.97e-07	0.048	0.6612	0.4393
jgi-Ganpr1-28781-gm1.2105_g	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A2P1BVT5	52.8	4.8879999999999995e-29	0.1134	0.5574	0.4461
jgi-Umbelo1-466742-fgenesh1_pg.8_#_130	high_confidence_non_cazyme	high_confidence_non_cazyme	-	-	0.0		0.0	0.4486	0.3622
jgi-Borrad1-1798834-gm1.3873_g	high_confidence_non_cazyme	high_confidence_non_cazyme	-	-	0.0		0.0	0.4528	0.3632
jgi-Nemani1-434486-fgenesh1_kg.124_#_87_#_TRINITY_DN8976_c0_g1_i1	high_confidence_non_cazyme	high_confidence_non_cazyme	-	QZS37284.1	46.8	1.473e-21	0.089	0.7987	0.4942
jgi-Rhicl1-25441-transcript:GBB89553	high_confidence_non_cazyme	high_confidence_non_cazyme	-	-	0.0		0.0	0.5647	0.3912
jgi-Schco2251_1-292255-fgenesh1_pm.93_#_7	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A097F8I3	55.7	2.3720000000000004e-199	0.5654	0.9122	0.7608
jgi-Xylber1-595155-fgenesh1_kg.37_#_284_#_TRINITY_DN9201_c0_g1_i1	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A9Q9RZY5	44.4	4.725e-35	0.1213	0.8534	0.524
jgi-Penfla1-9856-PENFLA_c007G09656T0	gray_zone	gray_zone_ambiguous_structure	-	UPK92553.1	54.5	2.157e-68	0.2147	0.8029	0.5581
jgi-Lbo_TFB10827_1-1782907-fgenesh1_kg.276_#_44_#_TRINITY_DN2817_c0_g2_i2	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A411E8M8	52.8	7.665e-20	0.0846	0.7888	0.4895
jgi-RusdecM1-1077168-fgenesh1_kg.110_#_48_#_TRINITY_DN5861_c1_g5_i4	high_confidence_cazyme	high_confidence_cazyme	GH63_e12	A0A180GXU1	63.9	5.407e-255	0.7007	0.8964	0.8245
jgi-FopisF79_1-583695-fgenesh1_kg.21_#_480_#_TRINITY_DN22707_c0_g1_i1	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A285M1I9	59.5	1.495e-13	0.0681	0.6745	0.4527
jgi-Hygaur1-1138545-fgenesh1_pm.896_#_1	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A975JCM1	44.2	1.138e-05	0.0462	0.689	0.4454
jgi-Morfluv1-735818-fgenesh1_kg.2_#_2922_#_TRINITY_DN297_c1_g1_i1	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8D9MIV1	46.7	8.087e-155	0.4538	0.8746	0.6955
jgi-Rhivi1-789743-fgenesh1_pm.23_#_17	gray_zone	gray_zone_structure_supports_non_cazyme	-	UJX40990.1	64.1	7.615e-18	0.0812	0.7773	0.4849
jgi-Muloch1-1622841-e_gw1.2.1414.1	gray_zone	gray_zone_structure_supports_non_cazyme	-	M2QHQ6	36.0	7.518e-17	0.0777	0.7835	0.4847
jgi-Aspfla1-233378-fgenesh1_kg.84_#_112_#_TRINITY_DN2812_c0_g1_i1	gray_zone	gray_zone_structure_supports_cazyme	-	A0A517LFT9	61.6	8.066e-129	0.3831	0.7404	0.6266
jgi-Necsp1-293299-CE293298_33333	gray_zone	gray_zone_structure_supports_non_cazyme	-	X4ZU40	68.4	1.077e-07	0.0506	0.657	0.4395
jgi-Mycepi1-895144-gm1.31762_g	high_confidence_cazyme	high_confidence_cazyme	GH18_e391	A0A5K1JX71	53.1	1.4179999999999998e-67	0.2068	0.7707	0.5461
jgi-LedVB361_1-989365-gm1.5832_g	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.4681	0.367
jgi-Acrvag1-342471-CE342470_55093	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A2K9P0H8	58.5	2.483e-15	0.0698	0.8179	0.4894
jgi-FusspF11_1-895806-estExt_fgenesh1_pm.C_7_t10254	gray_zone	gray_zone_ambiguous_structure	-	A0A9Q8T2G0	56.4	5.907e-52	0.1702	0.8176	0.5395
jgi-HypEC38_3-331445-e_gw1.17.114.1	high_confidence_cazyme	high_confidence_cazyme	GT15_e0	A0A061BIW8	76.0	1.493e-151	0.4206	0.8688	0.6775
jgi-Zasce1-60636-fgenesh1_pg.56_#_58	gray_zone	gray_zone_ambiguous_structure	-	A0A160T5A1	52.0	4.525e-59	0.1841	0.9	0.567
jgi-Mycflo1-1091608-MIX19413_8_26	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.4466	0.3616
jgi-Aspcal1-771229-ASPCAL09228	gray_zone	gray_zone_ambiguous_structure	-	A0A9W8R2E6	71.4	8.479999999999999e-104	0.3045	0.7981	0.6018
jgi-Fusoxrad1-13620-rna-gnl-WGS:AGNB-mrna_FOCG_03857T0	gray_zone	gray_zone_structure_supports_cazyme	-	A8WQ62	57.3	7.374e-101	0.2932	0.9045	0.6227
jgi-Achma1-40449-fgenesh1_pm.9_#_19	gray_zone	gray_zone_ambiguous_structure	-	A0A7H8QK02	60.7	3.4589999999999995e-88	0.2653	0.8226	0.5883
jgi-Aspneow1-186798-fgenesh1_kg.9_#_456_#_TRINITY_DN2040_c0_g1_i1	gray_zone	gray_zone_structure_supports_cazyme	-	A0A7R8X4I3	67.2	4.542e-148	0.4171	0.9028	0.6842
jgi-MagorFR13_1-1962487-fgenesh1_kg.3_#_18894_#_TRINITY_DN6724_c0_g1_i6	gray_zone	gray_zone_ambiguous_structure	-	A0A9Q8ZAJ7	69.4	1.424e-49	0.1562	0.7722	0.5212
jgi-Schque1-104159-fgenesh1_kg.5_#_207_#_TRINITY_DN389_c0_g3_i1	gray_zone	gray_zone_ambiguous_structure	-	A0A160SXU2	56.9	1.617e-94	0.2792	0.8785	0.6092
jgi-Paxru2-132497-Paxru1.e_gw1.43.89.1	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.7609	0.4402
jgi-Myceu1-7093-transcript:KXT03341	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.455	0.3638
jgi-Conioc1-1178890-fgenesh1_pm.37_#_4	gray_zone	gray_zone_structure_supports_cazyme	-	A0A9Q8T7M0	53.9	4.307e-195	0.5532	0.9249	0.7578
jgi-Irplac1183_1-1248635-CE1248634_32779	high_confidence_cazyme	high_confidence_cazyme	GH79_e13	UZJ57367.1	54.9	4.543e-122	0.3551	0.8368	0.6368
jgi-Pcas15300_1-329679-MIX2034_6412_99	gray_zone	gray_zone_structure_supports_cazyme	-	A0A7H8RC90	53.7	3.101e-237	0.6649	0.8842	0.8035
jgi-Phiasp1-234532-CE234531_4544	high_confidence_cazyme	high_confidence_cazyme	AA2_e1	WIA39915.1	48.8	3.886e-118	0.3508	0.802	0.6259
jgi-Colce1-757900-estExt_fgenesh1_pm.C_550020	gray_zone	gray_zone_structure_supports_cazyme	-	A0A9Q8WP62	41.5	1.4019999999999998e-134	0.3927	0.8633	0.6622
jgi-Myclep1-2308066-gm1.8878_g	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.5016	0.3754
jgi-Mycami1-973124-e_gw1.2.839.1	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A075GTN1	43.5	2.3e-25	0.1003	0.8719	0.5181
jgi-Nakbac1-233-BN123_NABA0s10e01287g.tr	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A4V6ENM3	33.6	7.508e-11	0.0593	0.88	0.4997
jgi-Cyapal1-661846-gm4.13292_g	gray_zone	gray_zone_ambiguous_structure	-	C0LAM1	66.0	3.5329999999999996e-53	0.1614	0.7451	0.517
jgi-Crypto1-128808-CE128807_21620	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A1L6HBM6	81.6	1.992e-13	0.062	0.5537	0.4194
jgi-Aspneoi1-243067-fgenesh1_pm.7_#_107	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.765	0.4413
jgi-Pismar1-2743432-fgenesh1_kg.173_#_19_#_TRINITY_DN18979_c2_g3_i2	high_confidence_cazyme	high_confidence_cazyme	GH79_e13	A0A8H8IQB1	62.8	6.904e-159	0.4503	0.8291	0.6824
jgi-Aspsubr1-300433-gm1.4589_g	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8H8NMR2	63.7	4.01e-199	0.5585	0.8339	0.7377
jgi-FvanT31_1-365940-gm1.8047_g	gray_zone	gray_zone_structure_supports_cazyme	-	QYO62262.1	67.1	5.311e-112	0.3342	0.7873	0.6139
jgi-MoanKOD1229_1-5486-BGZ75_005571-T1	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8H8T062	56.5	1.049e-140	0.4171	0.8428	0.6692
jgi-Denna1-491218-estExt_Genewise1Plus.C_10_t30063	gray_zone	gray_zone_structure_supports_cazyme	-	A0A2U9C9T3	60.0	9.465000000000001e-199	0.5532	0.877	0.7459
jgi-Bolvit1-1238018-fgenesh1_kg.14_#_1080_#_TRINITY_DN5431_c1_g1_i8	gray_zone	gray_zone_structure_supports_non_cazyme	-	F2K4N5	50.8	0.0002358	0.041	0.8419	0.481
jgi-Aspter1-205847-fgenesh1_pm.13_#_28	gray_zone	gray_zone_ambiguous_structure	-	A0A7R8W750	64.6	6.024e-65	0.1998	0.8226	0.5556
jgi-CocheC5_4m-1126054-CocheC5_3.estExt_Genewise1.C_2_t10102	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A9E8STS7	48.2	3.945e-11	0.0602	0.8077	0.482
jgi-Idrluna1-839802-fgenesh1_kg.6_#_2269_#_TRINITY_DN2009_c0_g1_i1	gray_zone	gray_zone_structure_supports_cazyme	-	A0A815QM16	74.4	4.858e-137	0.3813	0.7844	0.6368
jgi-Triaet1-368382-MIX5676_273_28	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.4546	0.3637
jgi-Annmin1-288528-CE288527_4189	gray_zone	gray_zone_structure_supports_cazyme	-	A0A7S8CZV9	71.0	7.064000000000001e-131	0.3787	0.8088	0.6416
jgi-Helpul1-633466-fgenesh1_pm.7_#_110	gray_zone	gray_zone_ambiguous_structure	-	E8V3D1	55.6	2.6499999999999997e-54	0.1806	0.7794	0.5352
jgi-Trigha1-468991-fgenesh1_pm.5_#_144	gray_zone	gray_zone_ambiguous_structure	-	K8EM54	34.2	2.904e-49	0.1675	0.8451	0.545
jgi-Mycpol1-1385728-MIX32120_362_31	gray_zone	gray_zone_ambiguous_structure	-	A0A9Q8Z2Q8	63.3	3.8389999999999996e-51	0.1658	0.7563	0.522
jgi-Lenrap1_155-92870-fgenesh1_pm.58_#_17	gray_zone	gray_zone_ambiguous_structure	-	A0A8H8T062	48.3	1.389e-116	0.3543	0.7152	0.6059
jgi-Ilyeu1-626469-fgenesh1_pm.1_#_46	gray_zone	gray_zone_ambiguous_structure	-	A0A7T0JS56	53.7	5.211e-76	0.2452	0.6962	0.5467
jgi-Ser400_1-1195251-gm1.1573_g	gray_zone	gray_zone_structure_supports_cazyme	-	A0A8H8P159	71.0	2.732e-250	0.6815	0.8832	0.8115
jgi-ThoPMI491_1-761835-fgenesh1_pg.12_#_49	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A1P8QYK1	38.8	2.472e-08	0.0515	0.8079	0.4777
jgi-Mycvul1-1340957-gm1.41672_g	high_confidence_non_cazyme	high_confidence_non_cazyme	-	G8ZW16	56.2	3.513e-09	0.0541	0.7406	0.4622
jgi-Trigil1-439566-CE439565_9869	gray_zone	gray_zone_ambiguous_structure	-	WFD15262.1	58.8	1.089e-81	0.2478	0.7614	0.5642
jgi-Pseve2-449898-fgenesh1_kg.20_#_196_#_TRINITY_DN18934_c0_g1_i1	gray_zone	gray_zone_structure_supports_non_cazyme	-	C3N1Q4	40.2	0.0001646	0.0419	0.5631	0.4117
jgi-Suisib1-2408951-MIX86255_8_2	gray_zone	gray_zone_structure_supports_non_cazyme	-	-	0.0		0.0	0.4311	0.3578
jgi-Cersam1-381061-MIX3283_23_86	high_confidence_cazyme	high_confidence_cazyme	GH5_5	Q7SDR1	74.8	1.685e-148	0.4127	0.8329	0.6646
jgi-Pbif18543_1-405468-gm4.4404_g	gray_zone	gray_zone_structure_supports_cazyme	-	WFD20538.1	77.5	2.778e-175	0.4808	0.6715	0.6583
jgi-Asppul1-478364-fgenesh1_pm.1_#_217	gray_zone	gray_zone_structure_supports_cazyme	-	A0A9Q8SE66	50.0	1.81e-102	0.3019	0.8734	0.6193
jgi-Lopma1-626860-estExt_Genewise1.C_400004	gray_zone	gray_zone_structure_supports_cazyme	-	A0A7R8ZIV0	54.0	9.197e-214	0.5995	0.8696	0.7671
jgi-Aspcaesp1-5365-CE5364_329	gray_zone	gray_zone_ambiguous_structure	-	A0A8S2A3C3	52.5	1.213e-59	0.1867	0.7837	0.5393
jgi-Fusoxcub1-3388-rna-gnl-WGS:AGND-mrna_FOIG_07410T0	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A2Z5G0X4	36.7	0.0009008	0.0384	0.8988	0.4939
jgi-Cypeu1-114679-HMPREF1541_04776T0	gray_zone	gray_zone_ambiguous_structure	-	A0A160T4P4	58.0	2.3619999999999998e-54	0.1702	0.8763	0.5541
jgi-Rhivul1-859119-estExt_fgenesh1_pm.C_330046	gray_zone	gray_zone_structure_supports_cazyme	-	ULT96439.1	57.5	1.8170000000000002e-201	0.5716	0.8955	0.7596
jgi-Cadosp1-523502-fgenesh1_kg.8_#_806_#_TRINITY_DN9599_c0_g1_i1	gray_zone	gray_zone_structure_supports_non_cazyme	-	A0A9D5LX34	41.2	2.647e-06	0.0471	0.7411	0.4588
jgi-Fusspo1-828549-fgenesh1_kg.1_#_8157_#_TRINITY_DN6406_c0_g2_i1	high_confidence_non_cazyme	high_confidence_non_cazyme	-	A0A8S2A7F3	44.7	2.573e-09	0.0532	0.6507	0.4393
